Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,0.000111,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,1009009.009009009,18018.018018018018,0.000111,0.0,0.000111,0.000111,0.0,0.0,0.0,0.0,0.0,0.000111,0.000111,0.0,0.000111,0.000111,0,0,0,0,20,20,9009.009009009009,9009.009009009009,54,58,56.0,2.0,4.0,0,0,0,0,2,0,0,0,1.0,56.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,1,54,507,251,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,7.2e-05,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,1555555.5555555555,27777.777777777777,7.2e-05,0.0,7.2e-05,7.2e-05,0.0,0.0,0.0,0.0,0.0,7.2e-05,7.2e-05,0.0,7.2e-05,7.2e-05,0,0,0,0,20,20,13888.888888888889,13888.888888888889,54,58,56.0,2.0,4.0,0,0,0,0,2,0,0,0,1.0,56.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,1,54,529,255,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,7.2e-05,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,1555555.5555555555,27777.777777777777,7.2e-05,0.0,7.2e-05,7.2e-05,0.0,0.0,0.0,0.0,0.0,7.2e-05,7.2e-05,0.0,7.2e-05,7.2e-05,0,0,0,0,20,20,13888.888888888889,13888.888888888889,54,58,56.0,2.0,4.0,0,0,0,0,2,0,0,0,1.0,56.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,1,54,472,251,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,5.7e-05,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,1964912.2807017544,35087.71929824561,5.7e-05,0.0,5.7e-05,5.7e-05,0.0,0.0,0.0,0.0,0.0,5.7e-05,5.7e-05,0.0,5.7e-05,5.7e-05,0,0,0,0,20,20,17543.859649122805,17543.859649122805,54,58,56.0,2.0,4.0,0,0,0,0,2,0,0,0,1.0,56.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,1,54,507,255,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,9.2e-05,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,1217391.3043478262,21739.130434782608,9.2e-05,0.0,9.2e-05,9.2e-05,0.0,0.0,0.0,0.0,0.0,9.2e-05,9.2e-05,0.0,9.2e-05,9.2e-05,0,0,0,0,20,20,10869.565217391304,10869.565217391304,54,58,56.0,2.0,4.0,0,0,0,0,2,0,0,0,1.0,56.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,1,54,507,254,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,5.7e-05,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,1964912.2807017544,35087.71929824561,5.7e-05,0.0,5.7e-05,5.7e-05,0.0,0.0,0.0,0.0,0.0,5.7e-05,5.7e-05,0.0,5.7e-05,5.7e-05,0,0,0,0,20,20,17543.859649122805,17543.859649122805,54,58,56.0,2.0,4.0,0,0,0,0,2,0,0,0,1.0,56.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,1,54,492,255,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,3.6e-05,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,3111111.111111111,55555.555555555555,3.6e-05,0.0,3.6e-05,3.6e-05,0.0,0.0,0.0,0.0,0.0,3.6e-05,3.6e-05,0.0,3.6e-05,3.6e-05,0,0,0,0,20,20,27777.777777777777,27777.777777777777,54,58,56.0,2.0,4.0,0,0,0,0,2,0,0,0,1.0,56.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,1,54,469,255,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,5.9e-05,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,1898305.0847457629,33898.30508474576,5.9e-05,0.0,5.9e-05,5.9e-05,0.0,0.0,0.0,0.0,0.0,5.9e-05,5.9e-05,0.0,5.9e-05,5.9e-05,0,0,0,0,20,20,16949.15254237288,16949.15254237288,54,58,56.0,2.0,4.0,0,0,0,0,2,0,0,0,1.0,56.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,1,54,474,251,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,9.5e-05,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,1178947.3684210526,21052.631578947367,9.5e-05,0.0,9.5e-05,9.5e-05,0.0,0.0,0.0,0.0,0.0,9.5e-05,9.5e-05,0.0,9.5e-05,9.5e-05,0,0,0,0,20,20,10526.315789473683,10526.315789473683,54,58,56.0,2.0,4.0,0,0,0,0,2,0,0,0,1.0,56.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,1,54,472,255,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,5.4e-05,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,2074074.0740740742,37037.03703703704,5.4e-05,0.0,5.4e-05,5.4e-05,0.0,0.0,0.0,0.0,0.0,5.4e-05,5.4e-05,0.0,5.4e-05,5.4e-05,0,0,0,0,20,20,18518.51851851852,18518.51851851852,54,58,56.0,2.0,4.0,0,0,0,0,2,0,0,0,1.0,56.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,1,54,472,510,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
