Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,ACK Flag Count,PSH Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
59620,44.65362882614136,9,0,580,0,97,54,64.44444444444444,16.45270063013034,0,0,0.0,0.0,12.988865972309364,0.20155136853583497,5.58170360326767,7.173016233854022,15.104551076889038,6.9141387939453125e-06,44.65362882614136,5.58170360326767,7.173016233854022,15.104551076889038,6.9141387939453125e-06,0.0,0.0,0.0,0.0,0.0,2,0,0,0,180,0,0.20155136853583497,0.0,54,97,64.44444444444444,16.45270063013034,270.69135802469134,0,0,0,9,2,0,0,0,0.0,64.44444444444444,64.44444444444444,0.0,180,0,0,0,0,0,0,9,580,0,0,501,0,2,20,0,0,0,0,0,0,0,0
53569,44.66830587387085,9,0,564,0,93,54,62.666666666666664,16.21384867602041,0,0,0.0,0.0,12.626402299486294,0.20148514307690893,5.583538234233856,7.174301260812294,15.103631019592285,7.867813110351562e-06,44.66830587387085,5.583538234233856,7.174301260812294,15.103631019592285,7.867813110351562e-06,0.0,0.0,0.0,0.0,0.0,2,0,0,0,180,0,0.20148514307690893,0.0,54,93,62.666666666666664,16.21384867602041,262.88888888888886,0,0,0,9,2,0,0,0,0.0,62.666666666666664,62.666666666666664,0.0,180,0,0,0,0,0,0,9,564,0,0,501,0,2,20,0,0,0,0,0,0,0,0
53732,46.23195195198059,18,0,1195,0,127,54,66.38888888888889,20.188387445616378,0,0,0.0,0.0,25.847924423377194,0.38934112102158114,2.719526585410623,5.617259362626836,15.10374903678894,0.0,46.23195195198059,2.719526585410623,5.617259362626836,15.10374903678894,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,360,0,0.38934112102158114,0.0,54,127,66.38888888888889,20.188387445616378,407.57098765432096,2,0,0,18,6,0,0,0,0.0,66.38888888888889,66.38888888888889,0.0,360,0,0,0,0,0,0,18,1195,0,0,501,0,6,20,0,0,0,0,0,0,0,0
53728,46.18475604057312,18,0,1195,0,127,54,66.38888888888889,20.188387445616378,0,0,0.0,0.0,25.87433825460066,0.3897389862617673,2.7167503553278305,5.61853790556847,15.103772163391113,8.821487426757812e-06,46.18475604057312,2.7167503553278305,5.61853790556847,15.103772163391113,8.821487426757812e-06,0.0,0.0,0.0,0.0,0.0,6,0,0,0,360,0,0.3897389862617673,0.0,54,127,66.38888888888889,20.188387445616378,407.57098765432096,2,0,0,18,6,0,0,0,0.0,66.38888888888889,66.38888888888889,0.0,360,0,0,0,0,0,0,18,1195,0,0,501,0,6,20,0,0,0,0,0,0,0,0
53674,44.68196201324463,9,0,564,0,93,54,62.666666666666664,16.21384867602041,0,0,0.0,0.0,12.622543294603291,0.20142356321175467,5.585245251655579,7.173288402275612,15.103716850280762,1.4066696166992188e-05,44.68196201324463,5.585245251655579,7.173288402275612,15.103716850280762,1.4066696166992188e-05,0.0,0.0,0.0,0.0,0.0,2,0,0,0,180,0,0.20142356321175467,0.0,54,93,62.666666666666664,16.21384867602041,262.88888888888886,0,0,0,9,2,0,0,0,0.0,62.666666666666664,62.666666666666664,0.0,180,0,0,0,0,0,0,9,564,0,0,501,0,2,20,0,0,0,0,0,0,0,0
53809,44.55839204788208,10,0,618,0,93,54,61.8,15.600000000000001,0,0,0.0,0.0,13.869441234232651,0.22442461544065778,4.950932449764675,6.972194198233231,15.09571099281311,3.0040740966796875e-05,44.55839204788208,4.950932449764675,6.972194198233231,15.09571099281311,3.0040740966796875e-05,0.0,0.0,0.0,0.0,0.0,2,0,0,0,200,0,0.22442461544065778,0.0,54,93,61.8,15.600000000000001,243.36000000000004,0,0,0,10,2,0,0,0,0.0,61.8,61.8,0.0,200,0,0,0,0,0,0,10,618,0,0,501,0,2,20,0,0,0,0,0,0,0,0
53812,44.541609048843384,10,0,618,0,93,54,61.8,15.600000000000001,0,0,0.0,0.0,13.874667152736093,0.22450917722873936,4.949067672093709,6.971035451725537,15.231745958328247,1.5974044799804688e-05,44.541609048843384,4.949067672093709,6.971035451725537,15.231745958328247,1.5974044799804688e-05,0.0,0.0,0.0,0.0,0.0,2,0,0,0,200,0,0.22450917722873936,0.0,54,93,61.8,15.600000000000001,243.36000000000004,0,0,0,10,2,0,0,0,0.0,61.8,61.8,0.0,200,0,0,0,0,0,0,10,618,0,0,501,0,2,20,0,0,0,0,0,0,0,0
53786,45.31114482879639,8,0,432,0,54,54,54.0,0.0,0,0,0.0,0.0,9.534078241286302,0.17655700446826486,6.473020689828055,7.474352917353761,15.103770971298218,3.3855438232421875e-05,45.31114482879639,6.473020689828055,7.474352917353761,15.103770971298218,3.3855438232421875e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,0.17655700446826486,0.0,54,54,54.0,0.0,0.0,0,0,0,8,0,0,0,0,0.0,54.0,54.0,0.0,160,0,0,0,0,0,0,8,432,0,0,501,0,0,20,0,0,0,0,0,0,0,0
53798,1.0011699199676514,5,0,347,0,107,54,69.4,20.972362766269327,0,0,0.0,0.0,346.5945121595462,4.994157235728331,0.25029247999191284,0.4042597526489212,0.9495441913604736,0.0,1.0011699199676514,0.25029247999191284,0.4042597526489212,0.9495441913604736,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,100,0,4.994157235728331,0.0,54,107,69.4,20.972362766269327,439.84,1,0,0,5,2,0,0,0,0.0,69.4,69.4,0.0,100,0,0,0,0,0,0,5,347,0,0,501,0,2,20,0,0,0,0,0,0,0,0
53796,32.79992389678955,9,0,510,0,78,54,56.666666666666664,7.542472332656507,0,0,0.0,0.0,15.548816564477416,0.2743908805496015,4.099990487098694,6.407980526612043,15.104350805282593,0.0,32.79992389678955,4.099990487098694,6.407980526612043,15.104350805282593,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,180,0,0.2743908805496015,0.0,54,78,56.666666666666664,7.542472332656507,56.888888888888886,1,0,0,9,1,0,0,0,0.0,56.666666666666664,56.666666666666664,0.0,180,0,0,0,0,0,0,9,510,0,0,501,0,1,20,0,0,0,0,0,0,0,0
53454,45.05584406852722,9,0,542,0,84,54,60.22222222222222,11.67882963864081,0,0,0.0,0.0,12.02951606401271,0.1997521117640487,5.631980508565903,7.247475453744306,15.21730899810791,1.71661376953125e-05,45.05584406852722,5.631980508565903,7.247475453744306,15.21730899810791,1.71661376953125e-05,0.0,0.0,0.0,0.0,0.0,2,0,0,0,180,0,0.1997521117640487,0.0,54,84,60.22222222222222,11.67882963864081,136.39506172839504,0,0,0,9,2,0,0,0,0.0,60.22222222222222,60.22222222222222,0.0,180,0,0,0,0,0,0,9,542,0,0,501,0,2,20,0,0,0,0,0,0,0,0
53718,45.31187391281128,8,0,432,0,54,54,54.0,0.0,0,0,0.0,0.0,9.53392483460849,0.17655416360386092,6.473124844687326,7.474484681951243,15.10417890548706,1.5020370483398438e-05,45.31187391281128,6.473124844687326,7.474484681951243,15.10417890548706,1.5020370483398438e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,0.17655416360386092,0.0,54,54,54.0,0.0,0.0,0,0,0,8,0,0,0,0,0.0,54.0,54.0,0.0,160,0,0,0,0,0,0,8,432,0,0,501,0,0,20,0,0,0,0,0,0,0,0
53585,45.31083703041077,8,0,432,0,54,54,54.0,0.0,0,0,0.0,0.0,9.534143006673203,0.17655820382728155,6.472976718630109,7.474309035050239,15.1043381690979,2.288818359375e-05,45.31083703041077,6.472976718630109,7.474309035050239,15.1043381690979,2.288818359375e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,0.17655820382728155,0.0,54,54,54.0,0.0,0.0,0,0,0,8,0,0,0,0,0.0,54.0,54.0,0.0,160,0,0,0,0,0,0,8,432,0,0,501,0,0,20,0,0,0,0,0,0,0,0
53800,35.46590995788574,9,0,510,0,78,54,56.666666666666664,7.542472332656507,0,0,0.0,0.0,14.380006056678182,0.2537648127649091,4.433238744735718,6.388537489272969,15.100048065185547,0.0,35.46590995788574,4.433238744735718,6.388537489272969,15.100048065185547,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,180,0,0.2537648127649091,0.0,54,78,56.666666666666664,7.542472332656507,56.888888888888886,1,0,0,9,1,0,0,0,0.0,56.666666666666664,56.666666666666664,0.0,180,0,0,0,0,0,0,9,510,0,0,501,0,1,20,0,0,0,0,0,0,0,0
57621,30.004687070846558,0,2,0,172,0,0,0.0,0.0,86,86,86.0,0.0,5.73243772194246,0.06665625258072627,30.004687070846558,0.0,30.004687070846558,30.004687070846558,0.0,0.0,0.0,0.0,0.0,30.004687070846558,30.004687070846558,0.0,30.004687070846558,30.004687070846558,0,0,0,0,0,104,0.0,0.06665625258072627,86,86,86.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,86.0,0.0,86.0,0,0,0,0,0,0,0,0,0,2,172,0,0,0,0,0,0,0,0,0,0,0,0
5353,4.009934902191162,0,3,0,380,0,0,0.0,0.0,140,100,126.66666666666667,18.856180831641264,94.76463066578845,0.7481418210456983,2.004967451095581,1.004704475402832,3.009671926498413,1.000262975692749,0.0,0.0,0.0,0.0,0.0,4.009934902191162,2.004967451095581,1.004704475402832,3.009671926498413,1.000262975692749,0,0,0,0,0,278,0.0,0.7481418210456983,100,140,126.66666666666667,18.856180831641264,355.5555555555555,0,0,0,0,0,0,0,0,0.0,126.66666666666667,0.0,126.66666666666667,0,0,0,0,0,0,0,0,0,3,380,0,0,0,0,0,0,0,0,0,0,0,0
443,0.05472207069396973,0,13,0,4765,0,0,0.0,0.0,1506,54,366.53846153846155,506.1414541386955,87076.38325033439,237.56410960217147,0.0045601725578308105,0.006206910122616066,0.02249288558959961,0.0,0.0,0.0,0.0,0.0,0.0,0.05472207069396973,0.0045601725578308105,0.006206910122616066,0.02249288558959961,0.0,0,7,0,0,0,296,0.0,237.56410960217147,54,1506,366.53846153846155,506.1414541386955,256179.17159763322,0,2,0,12,7,0,0,0,0.0,366.53846153846155,0.0,366.53846153846155,0,0,0,0,0,0,0,0,0,13,4765,0,65535,0,0,0,0,0,0,0,0,0,0
443,7.548926115036011,0,34,0,16889,0,0,0.0,0.0,1341,54,496.7352941176471,548.9513162183462,2237.2718639225195,4.503951884265834,0.22875533681927304,0.8804352060655347,4.858058929443359,0.0,0.0,0.0,0.0,0.0,0.0,7.548926115036011,0.22875533681927304,0.8804352060655347,4.858058929443359,0.0,0,17,0,0,0,704,0.0,4.503951884265834,54,1341,496.7352941176471,548.9513162183462,301347.5475778547,2,2,0,33,17,0,0,0,0.0,496.7352941176471,0.0,496.7352941176471,0,0,0,0,0,0,0,0,0,34,16889,0,65535,0,0,0,0,0,0,0,0,0,0
