Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
46.969177,0,763,0,880081,0,0,0.0,0.0,5250,54,1153.4482306684142,611.3475529877024,18737.41581633419,16.24469596305679,0.061639339895013134,0.47757015368568495,8.129456,0.0,0.0,0.0,0.0,0.0,0.0,46.969177,0.061639339895013134,0.47757015368568495,8.129456,0.0,0,308,0,0,0,15260,0.0,16.24469596305679,54,5250,1153.4482306684142,611.3475529877024,373745.8305440516,0,0,0,308,763,0,0,0,0.0,1153.4482306684142,0.0,1153.4482306684142,0,0,0,0,0,0,0,0,0,763,880081,0,2047,0,0,3.280056545454545,2.230299064843806,8.129456,1.026096,3.280056545454545,2.230299064843806,8.129456,1.026096,video_hosting
45.883259,2,408,124,356931,66,58,62.0,4.0,1577,54,874.8308823529412,646.9122196470192,7781.814277839331,8.93572097832022,0.11218400733496331,0.9911334480643039,18.499399,0.0,0.550804,0.275402,0.229189,0.504591,0.046213,45.332455,0.11138195331695334,0.9933695630195373,18.499399,0.0,0,84,0,0,47,8163,0.04358888282107424,8.892132095499145,54,1577,870.8658536585366,647.8126528744798,419661.2332242713,0,2,0,84,409,0,0,0,204.0,870.8658536585366,62.0,874.8308823529412,47,0,0,0,0,0,0,2,124,408,356931,65535,65535,0,24,3.9482234,4.996266788619063,18.499399,1.118799,3.9482234,4.996266788619063,18.499399,1.118799,video_hosting
42.280592,0,2657,0,3329738,0,0,0.0,0.0,2548,54,1253.1945803537824,529.3402574600219,78753.3438510038,62.84207184232425,0.015918897590361445,0.2933046229241075,12.419445,-0.000321,0.0,0.0,0.0,0.0,0.0,42.280592,0.015918897590361445,0.2933046229241075,12.419445,-0.000321,0,856,0,0,0,53143,0.0,62.84207184232425,54,2548,1253.1945803537824,529.3402574600219,280201.1081678423,0,0,0,856,2657,0,0,0,0.0,1253.1945803537824,0.0,1253.1945803537824,0,0,0,0,0,0,0,0,0,2657,3329738,0,8191,0,0,4.1624547142857145,3.8506333882471746,12.419445,1.06513,4.1624547142857145,3.8506333882471746,12.419445,1.06513,video_hosting
37.700397,4,696,248,623268,66,58,62.0,4.0,1901,54,895.5,656.8637431092496,16538.71178067435,18.567443732754324,0.05393475965665236,0.8065609792827245,19.958884,0.0,0.106808,0.035602666666666664,0.017603942443542454,0.048906,0.010727,37.593589,0.054013777298850575,0.8082956619307003,19.958884,0.0,0,96,0,0,94,13920,0.10609967847288186,18.461344054281444,54,1901,890.7371428571429,657.9906400053833,432951.6823346939,2,4,0,96,698,0,0,0,174.0,890.7371428571429,62.0,895.5,94,0,0,0,0,0,0,4,248,696,623268,65535,65535,0,24,7.80594725,7.264809598713424,19.958884,1.233694,7.80594725,7.264809598713424,19.958884,1.233694,video_hosting
54.484519,2,44,132,13406,66,66,66.0,0.0,3428,54,304.6818181818182,610.6408620430622,248.47425008927766,0.844276518252827,1.210767088888889,4.051295699078363,22.337548,0.0,1.788065,0.8940325,0.8458895,1.739922,0.048143,52.696454,1.2254989302325583,4.139834358000349,22.337548,0.0,0,18,0,0,52,889,0.036707674706644655,0.8075688435461824,54,3428,294.30434782608694,599.1988081765742,359039.2117202269,4,2,0,18,45,0,0,0,22.0,294.30434782608694,66.0,304.6818181818182,52,0,0,0,0,0,0,2,132,44,13406,65535,255,0,32,10.5495962,7.029686769359512,22.337548,1.739922,10.5495962,7.029686769359512,22.337548,1.739922,cloud_service
46.13616,20,231,1320,158126,66,66,66.0,0.0,4210,54,684.5281385281386,1076.101066173377,3455.9876678076375,5.440418101549848,0.18454464,0.852695128837888,11.376869,0.0,19.858678,0.9929339,2.5783770513889137,11.376869,0.0,26.277482,0.11424992173913043,0.38788897719177434,2.944043,0.0,0,101,0,0,520,4704,0.43349945032269704,5.00691865122715,54,4210,635.2430278884462,1045.8385685445787,1093778.3114553737,0,20,0,101,246,0,0,0,11.55,635.2430278884462,66.0,684.5281385281386,520,0,0,0,0,0,0,20,1320,231,158126,65535,1052,0,32,2.9360664999999995,2.6592395879466335,11.376869,1.23022,2.9360664999999995,2.6592395879466335,11.376869,1.23022,cloud_service
59.974499,0,627,0,499264,0,0,0.0,0.0,16460,54,796.274322169059,1603.8054023002628,8324.604762434114,10.454443312648598,0.09580590894568691,0.26274329148005443,2.257521,-9e-06,0.0,0.0,0.0,0.0,0.0,59.974499,0.09580590894568691,0.26274329148005443,2.257521,-9e-06,0,339,0,0,0,12600,0.0,10.454443312648598,54,16460,796.274322169059,1603.8054023002628,2572191.7684475076,3,0,1,339,627,0,0,0,0.0,796.274322169059,0.0,796.274322169059,0,0,0,0,0,0,0,0,0,627,499264,0,1201,0,0,1.4920883076923075,0.36645793912879104,2.257521,1.004632,1.4645636666666666,0.3534157052444362,2.257521,1.004632,cloud_service
54.476134,0,187,0,110245,0,0,0.0,0.0,2580,54,589.5454545454545,851.7904338046126,2023.7302448811804,3.4326958664137215,0.29288244086021503,1.250604029723667,13.379677,0.0,0.0,0.0,0.0,0.0,0.0,54.476134,0.29288244086021503,1.250604029723667,13.379677,0.0,0,106,0,0,0,3752,0.0,3.4326958664137215,54,2580,589.5454545454545,851.7904338046126,725546.94312105,0,0,0,106,187,0,0,0,0.0,589.5454545454545,0.0,589.5454545454545,0,0,0,0,0,0,0,0,0,187,110245,0,3820,0,0,3.841518181818182,3.526999815639653,13.379677,1.014456,3.841518181818182,3.526999815639653,13.379677,1.014456,cloud_service
52.177383,0,571,0,535024,0,0,0.0,0.0,16460,54,936.9947460595447,1458.60404258222,10253.944702439368,10.943438845907624,0.09153926842105264,0.7750036710935078,16.722052,0.0,0.0,0.0,0.0,0.0,0.0,52.177383,0.09153926842105264,0.7750036710935078,16.722052,0.0,0,237,0,0,0,11438,0.0,10.943438845907624,54,16460,936.9947460595447,1458.60404258222,2127525.7530371947,2,0,0,237,571,0,0,0,0.0,936.9947460595447,0.0,936.9947460595447,0,0,0,0,0,0,0,0,0,571,535024,0,3820,0,0,4.993434000000001,5.604669707256026,16.722052,1.252318,4.993434000000001,5.604669707256026,16.722052,1.252318,cloud_service
59.968366,8,5490,528,5491934,66,66,66.0,0.0,5734,54,1000.3522768670309,656.9814053500222,91589.32227701518,91.68167096632247,0.010909289794433327,0.13457782510422106,5.902439,-0.000161,0.174285,0.021785625,0.03223966203660291,0.102033,0.0,59.794081,0.010893437966842777,0.134669594986221,5.902439,-0.000161,0,2106,0,0,208,109851,0.13340366819399413,91.54826729812848,54,5734,998.9927246271371,657.468610195162,432264.97339195793,0,8,0,2106,5494,0,0,0,686.25,998.9927246271371,66.0,1000.3522768670309,208,0,0,0,0,0,0,8,528,5490,5491934,65535,16383,0,32,2.4470879166666673,1.2846291904135514,5.902439,1.005955,2.4470879166666673,1.2846291904135514,5.902439,1.005955,cloud_service
